School,Latitude,Longitude
Utica Shale Academy of Ohio,40.6364969,-80.7821136
Village Preparatory School Willard,41.4711522,-81.7479911
Life Skills Ctr Of Cincinnati,39.1279024,-84.4887099
Stark College and Career High School,40.7853842,-81.3936382
"Massillon Digital Academy, Inc",0,0
Miamisburg Secondary Academy,0,0
Southside Academy,41.0865887,-80.660133
Cleveland Arts and Social Sciences Academy,41.484213,-81.6111349
Central Academy of Ohio,41.6698395,-83.6093158
Global Village Academy,41.4066227,-81.710998
Canton Harbor High School,40.816383,-81.3395547
Hope Academy for Autism,41.2242013,-80.7997973
Chapelside Cleveland Academy,41.4540418,-81.5907158
Miami Valley Academies,39.676635,-84.219992
Invictus High School,41.5022083,-81.6657904
Cleveland Academy for Scholarship Technology and Leadership,41.5019349,-81.6578874
Charles School at Ohio Dominican University,39.9946752,-82.9488954
Bella Academy of Excellence,41.5809345,-81.5449872
University Academy,41.0691684,-81.4899521
Noble Academy-Cleveland,41.5768406,-81.5397885
Imagine Hill Avenue,41.638204,-83.687051
Winton Preparatory Academy,39.176955,-84.517373
Lincoln Park Academy,41.467426,-81.7126849
SunBridge Schools,41.6594084,-83.7030851
Main Preparatory Academy,41.0535048,-81.5106904
Ohio Construction Academy,40.008502,-82.9178395
Riverside Academy,39.0863047,-84.5780435
Constellation Schools: Puritas Community Elementary,41.4347608,-81.8212776
Life Skills Of Northeast Ohio,41.4284698,-81.5255378
Millennium Community School,39.9207063,-82.9065344
Buckeye On-Line School for Success,40.6191746,-80.5787786
Early College Academy,39.9860785,-82.9966032
Citizens Leadership Academy East,41.53647,-81.5965785
Summit Academy Secondary - Canton,40.8238173,-81.3831166
Summit Academy - Toledo,41.6429277,-83.5535298
Rushmore Academy,0,0
Life Skills High School of Cleveland,0,0
North Dayton School Of Science & Discovery,39.8152904,-84.2518329
Summit Academy Community School-Parma,41.4034511,-81.7695465
Goal Digital Academy,40.7670087,-82.544454
Summit Academy Secondary - Youngstown,41.0712115,-80.6346272
Constellation Schools: Eastside Arts Academy,41.4522422,-81.6425933
Summit Academy Community School-Warren,41.2200298,-80.7866424
Liberty High School,39.7661678,-84.1753296
Summit Academy Community School - Cincinnati,39.1857528,-84.4678804
Akros Middle School,41.0833523,-81.508061
Rittman Academy,40.97583,-81.798006
Dayton Leadership Academies-Dayton View Campus,39.7615342,-84.2183944
Coshocton Opportunity School,40.2582311,-81.8456308
Horizon Science Academy-Cincinnati,39.1774771,-84.4809882
"Dayton Early College Academy, Inc",39.7389135,-84.1817273
Imagine Akron Academy,41.0493082,-81.5779794
Zenith Academy West,39.9553523,-83.0911901
Horizon Science Academy-Dayton,39.8125502,-84.22373
Phoenix Community Learning Ctr,39.1483329,-84.4955826
TRECA Digital Academy,40.5714826,-83.1248566
Clark Preparatory Academy,0,0
Youngstown Community School,41.0904546,-80.6578845
Noble Academy-Columbus,40.0626275,-83.0550571
Star Academy of Toledo,0,0
Flex High School,39.9578127,-83.0157019
South Scioto Academy,39.926294,-82.937899
Life Skills Center of Columbus North,40.0876954,-82.9673359
Stonebrook Montessori,41.5288674,-81.6259848
Dayton Leadership Academies-Early Learning Academy,0,0
Mahoning Unlimited Classroom,41.0211588,-80.6587026
Dayton Business Technology High School,39.7611151,-84.1986039
East Academy,41.5546378,-81.5682546
Constellation Schools: Lorain Community Elementary,41.4664022,-82.1833445
Constellation Schools: Puritas Community Middle,41.4347608,-81.8212776
Discovery Academy,41.6787319,-83.609239
iLEAD Spring Meadows,41.61188,-83.7256609
Richard Allen Preparatory,39.7640504,-84.2075817
Sciotoville,38.7585589,-82.8886315
West Park Academy,41.4264978,-81.7786594
Global Ambassadors Language Academy,41.4574915,-81.7842302
Autism Model School,41.7182659,-83.6170531
Harvard Avenue Performance Academy,41.4480618,-81.5984562
Groveport Community School,39.8777741,-82.8854279
Horizon Science Academy Columbus Middle School,40.060525,-82.956289
Life Skills Center of Elyria,41.4013087,-82.1067366
Eagle Learning Center,41.6375317,-83.4844413
Cliff Park High School,39.9344258,-83.806381
Constellation Schools: Stockyard Community Elementary,41.4674609,-81.7307281
Franklin Local Community School,0,0
Foxfire High School,39.8957947,-82.0476945
Columbus Collegiate Academy - West,39.9520993,-83.0342076
Beacon Hill Academy,40.671824,-81.702346
Imagine Leadership Academy,41.0493082,-81.5779794
Westside Academy,39.9356954,-83.1122293
Southwest Ohio Preparatory School,39.1952403,-84.5704435
A+ Children's Academy,39.8823721,-82.996981
Zenith Academy East,39.9285849,-82.8813067
Richard Allen Academy,39.3835842,-84.5439495
Akron Digital Academy,0,0
Village Preparatory School,41.5136256,-81.6665337
Bridges Community Academy,41.0979128,-83.1681756
Life Skills Center of North Akron,41.102851,-81.4670554
Monroe Preparatory Academy,41.4513668,-82.703772
United Preparatory Academy East,39.9568865,-82.9595235
Constellation Schools: Westpark Community Middle,41.4515782,-81.8121372
Broadway Academy,41.4656044,-81.6522654
Menlo Park Academy,41.4731999,-81.7207252
Life Skills Center of Dayton,39.7788143,-84.2056559
Everest High School,39.9529277,-82.7971456
United Preparatory Academy,39.9578735,-83.0167091
Constellation Schools: Madison Community Elementary,41.4768235,-81.7480001
Achieve Career Preparatory Academy,41.6905303,-83.5656969
Horizon Science Acad Cleveland,41.5309122,-81.6486503
Cincinnati College Preparatory Academy,39.1109566,-84.5283626
Green Inspiration Academy,41.444329,-81.5276298
West Preparatory Academy,41.4247872,-81.7816285
Sullivant Avenue Community School,39.942051,-83.0905281
Harrisburg Pike Community School,39.9437179,-83.036098
Lorain Preparatory Academy,41.4322517,-82.2018087
Madison Avenue School of Arts,41.6558715,-83.5454109
Horizon Science Academy Denison Elementary School,0,0
Westwood Preparatory Academy,39.9577849,-83.0228572
Clay Avenue Community School,41.6827213,-83.5228873
Klepinger Community School,39.8003233,-84.2442611
Mount Auburn International Academy,0,0
West Central Learning Academy II,40.7430893,-84.1110621
Liberty Preparatory School,40.8651697,-81.8601273
City Day Community School,39.7549016,-84.1898719
Pinnacle Academy,41.5907814,-81.5274736
Performance Academy Eastland,39.9298813,-82.8770591
Cleveland College Preparatory School,41.455525,-81.656059
Insight School of Ohio,0,0
Winterfield Venture Academy,41.6343463,-83.6437376
Columbus Performance Academy,39.9813337,-82.9960155
Focus Learning Academy of Southwest Columbus,39.9325,-82.9906836
Cincinnati Learning Schools,0,0
REACH Academy,0,0
Trotwood Preparatory & Fitness Academy,39.8179138,-84.2952701
STEAM Academy of Akron,41.0355412,-81.4967583
T2 Honors Academy,41.4312823,-81.5510726
Academy of Educational Excellence,41.6474547,-83.5949156
Constellation Schools: Elyria Community,41.3818562,-82.0781212
Cleveland Entrepreneurship Preparatory School,0,0
Madisonville SMART Elementary,0,0
Brookwood Academy,0,0
Cleveland Preparatory Academy,41.425829,-81.720407
"Maritime Academy of Toledo, The",41.6551341,-83.5278216
Columbus Collegiate Academy,39.9568865,-82.9595235
The Haley School,0,0
Constellation Schools: Lorain Community Middle,41.4664022,-82.1833445
Constellation Schools: Old Brooklyn Community Middle,41.433941,-81.7077967
Summit Academy Akron Elementary School,41.048857,-81.4396901
Promise Academy,41.5039501,-81.6843548
Citizens Academy East,41.53647,-81.5965785
Imagine Columbus Primary School,40.0629239,-82.9662439
Newark Digital Academy,0,0
Lakeland Academy Community School,40.2105092,-81.2667244
Academy for Urban Scholars Youngstown,41.064848,-80.6610432
East Bridge Academy of Excellence,39.9349024,-82.8335162
Columbus Bilingual Academy-North,40.0617349,-82.9639913
Lake Erie College Preparatory School,41.5521493,-81.5813206
Educational Academy for Boys & Girls,39.9548177,-83.0582028
Summit Acdy Comm Schl for Alternative Learners of Middletown,39.5102568,-84.3442017
The Richland School of Academic Arts,40.7609403,-82.5683229
Citizens Academy,41.5239339,-81.6181716
Horizon Science Academy-Springfield,41.628571,-83.6656778
Life Skills Center of Columbus Southeast,39.9255334,-82.878447
Anton Grdina ,41.4782583,-81.6389551
Crosby Elementary School,39.2766386,-84.716958
Pymatuning Valley Primary Elementary School,41.6094396,-80.5854316
Buckeye Valley East Elementary School,40.4094648,-82.9471776
Avondale Elementary School,39.9562113,-83.0255549
Barnesville High School,39.9868434,-81.1571965
Bear Elementary School,39.634013,-84.30273
Black River High School,41.0567498,-82.1734877
Caldwell Elementary School,39.7401764,-81.5245848
Thurgood Marshall High School,39.7628246,-84.261184
Dorothy E Lewis Elementary School,41.410958,-81.449752
East High School ,39.9671025,-82.9608814
Emerson Primary School,40.2795769,-84.1696847
Firestone High School,41.1189134,-81.5646986
Benjamin Logan Elementary School,40.4100017,-83.6531938
Boardman High School,41.0111623,-80.6684737
Como Elementary School,40.0258513,-82.9926149
