PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,LATITUDE,LONGITUDE
Single Family Residential,9061 Boyer Ln,Mentor,OH,44060,339000,3,1.5,E E Boyer,2715,217800,1953,269,125,,Active,,,http://www.redfin.com/OH/Mentor/9061-Boyer-Ln-44060/home/76040847,41.650713,-81.315872
Single Family Residential,S/L B Hoose Rd,Mentor,OH,44060,339900,3,2.5,Mentor,1950,27007,,269,174,,Active,,,http://www.redfin.com/OH/Mentor/SL-B-Hoose-Rd-44060/home/145250741,41.66057,-81.290601
Single Family Residential,8724 Munson Rd,Mentor,OH,44060,129900,2,1,Mentor,1546,81457,1952,275,84,,Active,,,http://www.redfin.com/OH/Mentor/8724-Munson-Rd-44060/home/66251617,41.6913591,-81.3264361
Vacant Land,Reynolds Rd,Mentor,OH,44060,50000,,,Mentor,,,,276,,,Active,,,http://www.redfin.com/OH/Mentor/Reynolds-Rd-44060/home/77649432,41.671914,-81.377515
Single Family Residential,8675 Mentor Rd,Mentor,OH,44060,449900,4,4,Chardon,4856,217800,1998,280,93,,Active,,,http://www.redfin.com/OH/Mentor/8675-Mentor-Rd-44060/home/66150742,41.634877,-81.28613
Single Family Residential,7355 Maple St,Mentor,OH,44060,289900,3,2,Mentor,1518,14374,2018,288,191,,Active,,,http://www.redfin.com/OH/Mentor/7355-Maple-St-44060/home/147555292,41.6705527,-81.3322282
Vacant Land,VL Barberry Hill Rear Dr,Mentor,OH,44060,10000,,,Mentor,,132858,,288,,,Active,,,http://www.redfin.com/OH/Mentor/VL-Barberry-Hill-Dr-44060/home/148752128,41.670094,-81.351834
Vacant Land,8350 Munson Rd,Mentor,OH,44060,79900,,,Mentor,,62726,,294,,,Active,,,http://www.redfin.com/OH/Mentor/8350-Munson-Rd-44060/home/77629221,41.7006111,-81.3415959
Single Family Residential,5288 Highland Way,Mentor,OH,44060,369900,4,2.5,Mentor,2472,20908,2018,295,150,,Active,,,http://www.redfin.com/OH/Mentor/5288-Highland-Ct-44060/home/147400444,41.666208,-81.3158533
Single Family Residential,7281 Hart St,Mentor,OH,44060,139900,3,1.5,Woodland Glen,1090,10890,1940,308,128,,Active,July-28-2019 01:00 PM,July-28-2019 03:00 PM,http://www.redfin.com/OH/Mentor/7281-Hart-St-44060/home/77647969,41.6725928,-81.3364821
Vacant Land,VL Lakeview Dr,Mentor,OH,44060,22500,,,Mentor,,,,317,,4,Active,,,http://www.redfin.com/OH/Mentor/VL-Lakeview-Dr-44060/home/147036181,41.741202,-81.32249
Single Family Residential,5008 Lakeview Dr,Mentor,OH,44060,189900,3,1.5,Headland On The Lake,2100,3049,,318,90,8,Active,,,http://www.redfin.com/OH/Mentor/5008-Lakeview-Dr-44060/home/107585471,41.7348595,-81.3230372
Vacant Land,9365 Pineneedle Dr,Mentor,OH,44060,49900,,,Pine Indust Park 02,,46609,,357,,,Active,,,http://www.redfin.com/OH/Mentor/9365-Pineneedle-Dr-44060/home/66721390,41.701816,-81.303502
Single Family Residential,9371 Canterbury Ln,Mentor,OH,44060,429900,4,3,Canterbury Estates,4982,55756,1989,366,86,,Active,,,http://www.redfin.com/OH/Mentor/9371-Canterbury-Ln-44060/home/77647820,41.6727682,-81.3033631
Vacant Land,E Heisley,Mentor,OH,44060,140000,,,Mentor,,29185,,388,,,Active,,,http://www.redfin.com/OH/Mentor/E-Heisley-Rd-44060/home/66456055,41.721345,-81.296079
Single Family Residential,5754 Grovewood Dr,Mentor,OH,44060,239900,5,2.5,Mentor,2530,16552,1979,402,95,,Active,,,http://www.redfin.com/OH/Mentor/5754-Grovewood-Dr-44060/home/76058985,41.7145895,-81.3517365
Vacant Land,Lake Shore Blvd,Mentor,OH,44060,29900,,,Chestnut Woodland,,8712,,409,,,Active,,,http://www.redfin.com/OH/MENTOR-ON-THE/Lakeshore-Blvd-44060/home/76046979,41.733319,-81.295061
Single Family Residential,9590 E Lakeshore Blvd E,Mentor,OH,44060,449000,3,1.5,Mentor,1689,133729,1925,427,266,,Active,,,http://www.redfin.com/OH/Mentor/9590-Lakeshore-Blvd-44060/home/76040523,41.727784,-81.294318
Vacant Land,Holly Dr,Mentor-on-the-Lake,OH,44060,12500,,,Mentor Beach Park Sub,,3920,,430,,,Active,,,http://www.redfin.com/OH/Mentor-On-The-Lake/Holly-Dr-44060/home/76047574,41.711054,-81.365303
Single Family Residential,8700 Sanctuary Dr,Kirtland Hills,OH,44060,1999999,7,7,Sanctuary 01 Ph 01,12828,224334,2005,432,156,,Active,,,http://www.redfin.com/OH/Mentor/8700-Sanctuary-Dr-44060/home/66148352,41.6315382,-81.3287248
Vacant Land,6042 Andrews Rd,Mentor-on-the-Lake,OH,44060,225000,,,Mentor Beach Park 03,,30491,,450,,,Active,,,http://www.redfin.com/OH/Mentor-On-The-Lake/6042-Andrews-Rd-44060/home/66616098,41.707099,-81.361795
Single Family Residential,9271 Sugarbush Dr Unit Sublot 5,Mentor,OH,44060,276285,3,2.5,Sandy Acres Sub 4,1820,50965,2018,471,152,,Active,,,http://www.redfin.com/OH/Mentor/9271-Sugarbush-Dr-44060/unit-Sublot-5/home/145302871,41.691961,-81.307147
Vacant Land,Hendricks Rd,Mentor,OH,44060,185000,,,Mentor,,1089000,,486,,,Active,,,http://www.redfin.com/OH/Mentor/Hendricks-Rd-44060/home/77652644,41.704466,-81.315758
Vacant Land,17 King Memorial Rd,Kirtland Hills,OH,44060,84500,,,Kirtland Hills,,221284,,499,,,Active,,,http://www.redfin.com/OH/Kirtland-Hills/17-King-Memorial-Rd-44060/home/147082381,41.654594,-81.304553
Single Family Residential,7068 Culver Blvd,Mentor,OH,44060,325000,3,2.5,Mentor Estates Allotment,1882,23522,,703,173,,Active,,,http://www.redfin.com/OH/Mentor/7068-Culver-Blvd-44060/home/143400089,41.6762307,-81.3895462
Vacant Land,7695 Bellflower,Mentor,OH,44060,55000,,,Mentor,,64468,,708,,,Active,,,http://www.redfin.com/OH/Mentor/7695-Bellflower-Rd-44060/home/66604533,41.688249,-81.368132
Vacant Land,5 West Rd,Harrison,OH,45030,239900,,,Harrison,,103063,,933,,,Active,,,http://www.redfin.com/OH/Harrison/5-West-Rd-Unknown/home/146322468,41.714332,-81.365562
Single Family Residential,7443 Broadmoor Cir,Mentor,OH,44060,134900,3,1,Mentor,884,15507,1950,73,153,,Active,,,http://www.redfin.com/OH/Mentor/7443-Broadmoor-Cir-44060/home/77645508,41.6524551,-81.375611
Single Family Residential,9378 Corning Ave,Mentor,OH,44060,390370,3,2.5,Woodlands of Mentor,2323,,2019,42,168,,Active,,,http://www.redfin.com/OH/Mentor/9378-Corning-AVE-44060/home/167092151,41.655453,-81.305514
Single Family Residential,9345 Corning Ave,Mentor,OH,44060,378750,3,2.5,Woodlands of Mentor,2376,,2019,112,159,,Active,,,http://www.redfin.com/OH/Mentor/9345-Corning-AVE-44060/home/161099777,41.655453,-81.305514
Single Family Residential,5373 Highland Way,Mentor,OH,44060,359900,4,2.5,Lakeshore Highlands,2434,,2019,182,148,,Active,,,http://www.redfin.com/OH/Mentor/5373-Highland-Ct-44060/home/144716309,41.7250994,-81.29650154
Single Family Residential,Westchester,Mentor,OH,44060,338990,4,2.5,Woodlands of Mentor,3300,,,,103,,Active,,,http://www.redfin.com/OH/Mentor/Woodlands-of-Mentor/Westchester/home/165182491,41.6769394,-81.3346314
Single Family Residential,Riverton,Mentor,OH,44060,331990,4,2.5,Woodlands of Mentor,3126,,,,106,,Active,,,http://www.redfin.com/OH/Mentor/Woodlands-of-Mentor/Riverton/home/148444912,41.655453,-81.305514
Single Family Residential,Linwood,Mentor,OH,44060,318990,3,2.5,Woodlands of Mentor,2456,,,,130,,Active,,,http://www.redfin.com/OH/Mentor/Woodlands-of-Mentor/Linwood/home/148444913,41.655453,-81.305514
Single Family Residential,Greenfield,Mentor,OH,44060,313990,4,2.5,Woodlands of Mentor,2609,,,,120,,Active,,,http://www.redfin.com/OH/Mentor/Woodlands-of-Mentor/Greenfield/home/165182494,41.6769394,-81.3346314
Single Family Residential,Amberwood,Mentor,OH,44060,323990,3,2.5,Woodlands of Mentor,2323,,,,139,,Active,,,http://www.redfin.com/OH/Mentor/Woodlands-of-Mentor/Amberwood/home/148444915,41.655453,-81.305514
Single Family Residential,Cornwell,Mentor,OH,44060,387300,4,3.5,Creekside Farms,2807,,,,138,,Active,,,http://www.redfin.com/OH/Mentor/Creekside-Farms/Cornwell/home/155926583,41.6862908,-81.3133917
Single Family Residential,Barksley,Mentor,OH,44060,314100,3,2,Creekside Farms,1747,,,,180,,Active,,,http://www.redfin.com/OH/Mentor/Creekside-Farms/Barksley/home/155926564,41.6862908,-81.3133917
Single Family Residential,Yorktowne,Mentor,OH,44060,316300,4,2.5,Creekside Farms,2114,,,,150,,Active,,,http://www.redfin.com/OH/Mentor/Creekside-Farms/Yorktowne/home/155926540,41.6862908,-81.3133917
Single Family Residential,Glenville,Mentor,OH,44060,326000,3,2.5,Creekside Farms,1977,,,,165,,Active,,,http://www.redfin.com/OH/Mentor/Creekside-Farms/Glenville/home/155924131,41.6862908,-81.3133917
Single Family Residential,Briarwood,Mentor,OH,44060,309100,3,2.5,Creekside Farms,2064,,,,150,,Active,,,http://www.redfin.com/OH/Mentor/Creekside-Farms/Briarwood/home/155917107,41.6862908,-81.3133917
Single Family Residential,Melborne,Mentor,OH,44060,319700,4,2,Creekside Farms,1899,,,,168,,Active,,,http://www.redfin.com/OH/Mentor/Creekside-Farms/Melborne/home/155919443,41.6862908,-81.3133917
Single Family Residential,Mcintosh,Mentor,OH,44060,364700,3,2.5,Creekside Farms,2479,,,,147,,Active,,,http://www.redfin.com/OH/Mentor/Creekside-Farms/Mcintosh/home/155914666,41.6862908,-81.3133917
Single Family Residential,Ashby,Mentor,OH,44060,293600,3,2.5,Creekside Farms,1820,,,,161,,Active,,,http://www.redfin.com/OH/Mentor/Creekside-Farms/Ashby/home/155912218,41.6862908,-81.3133917
Single Family Residential,Zephyr,Mentor,OH,44060,229300,3,2,Creekside Farms,1301,,,,176,,Active,,,http://www.redfin.com/OH/Mentor/Creekside-Farms/Zephyr/home/155909700,41.6862908,-81.3133917
Single Family Residential,Mcintosh,Mentor,OH,44060,368100,3,2.5,Lakeshore Highlands,2479,,,,148,,Active,,,http://www.redfin.com/OH/Mentor/Lakeshore-Highlands/Mcintosh/home/155907025,41.70029,-81.311949
Single Family Residential,Kingston,Mentor,OH,44060,362800,4,2.5,Lakeshore Highlands,2594,,,,140,,Active,,,http://www.redfin.com/OH/Mentor/Lakeshore-Highlands/Kingston/home/147182619,41.70029,-81.311949
Single Family Residential,Cornwell,Mentor,OH,44060,390700,4,3.5,Lakeshore Highlands,2807,,,,139,,Active,,,http://www.redfin.com/OH/Mentor/Lakeshore-Highlands/Cornwell/home/147182631,41.70029,-81.311949
Single Family Residential,Eadon 1828,Mentor,OH,44060,340100,3,2,Lakeshore Highlands,1828,,,,186,,Active,,,http://www.redfin.com/OH/Mentor/Lakeshore-Highlands/Eadon-1828/home/147182630,41.70029,-81.311949
Single Family Residential,Poplar,Mentor,OH,44060,334500,3,2.5,Lakeshore Highlands,2215,,,,151,,Active,,,http://www.redfin.com/OH/Mentor/Lakeshore-Highlands/Poplar/home/147182629,41.70029,-81.311949
Single Family Residential,Stone Mill II,Mentor,OH,44060,393800,4,2.5,Lakeshore Highlands,2717,,,,145,,Active,,,http://www.redfin.com/OH/Mentor/Lakeshore-Highlands/Stone-Mill-II/home/147182628,41.70029,-81.311949
Single Family Residential,Barksley,Mentor,OH,44060,317500,3,2,Lakeshore Highlands,1747,,,,182,,Active,,,http://www.redfin.com/OH/Mentor/Lakeshore-Highlands/Barksley/home/147182627,41.70029,-81.311949
Single Family Residential,Yorktowne,Mentor,OH,44060,319700,4,2.5,Lakeshore Highlands,2114,,,,151,,Active,,,http://www.redfin.com/OH/Mentor/Lakeshore-Highlands/Yorktowne/home/147182626,41.70029,-81.311949
Single Family Residential,Glenville,Mentor,OH,44060,329400,3,2.5,Lakeshore Highlands,1977,,,,167,,Active,,,http://www.redfin.com/OH/Mentor/Lakeshore-Highlands/Glenville/home/147182625,41.70029,-81.311949
Single Family Residential,Briarwood,Mentor,OH,44060,312500,3,2.5,Lakeshore Highlands,2064,,,,151,,Active,,,http://www.redfin.com/OH/Mentor/Lakeshore-Highlands/Briarwood/home/147182624,41.70029,-81.311949
Single Family Residential,Melborne,Mentor,OH,44060,323100,4,2,Lakeshore Highlands,1899,,,,170,,Active,,,http://www.redfin.com/OH/Mentor/Lakeshore-Highlands/Melborne/home/147182623,41.70029,-81.311949
Single Family Residential,Devonshire 1800,Mentor,OH,44060,330000,3,2.5,Lakeshore Highlands,1800,,,,183,,Active,,,http://www.redfin.com/OH/Mentor/Lakeshore-Highlands/Devonshire-1800/home/147182622,41.70029,-81.311949
Single Family Residential,Stanford,Mentor,OH,44060,356400,4,2.5,Lakeshore Highlands,2361,,,,151,,Active,,,http://www.redfin.com/OH/Mentor/Lakeshore-Highlands/Stanford/home/147182621,41.70029,-81.311949
Single Family Residential,520 W Wheeling St,Lancaster,OH,43130,62900,3,1,,1288,5662,1900,1,49,,Active,,,http://www.redfin.com/OH/Lancaster/520-W-Wheeling-St-43130/home/70630590,39.71498,-82.612435
Single Family Residential,731 Cherokee Dr,Lancaster,OH,43130,134900,3,1,,952,10454,1953,1,142,,Active,,,http://www.redfin.com/OH/Lancaster/731-Cherokee-Dr-43130/home/70629756,39.7102675,-82.5859234
Single Family Residential,1709 E Glenhurst Dr NW,Lancaster,OH,43130,419900,3,2,Bloom,2544,63597,2005,1,165,26,Active,July-28-2019 02:00 PM,July-28-2019 04:00 PM,http://www.redfin.com/OH/Lancaster/1709-E-Glenhurst-Dr-NW-43130/home/70592707,39.7577604,-82.755826
Single Family Residential,942 Washington Ave,Lancaster,OH,43130,89900,2,1,,1048,6534,1948,1,86,,Active,,,http://www.redfin.com/OH/Lancaster/942-Washington-Ave-43130/home/70620074,39.7258234,-82.6156105
Single Family Residential,1530 Scenic Valley Pl,Lancaster,OH,43130,189900,4,2.5,,1768,7840,2001,2,107,7,Active,,,http://www.redfin.com/OH/Lancaster/1530-Scenic-Valley-Pl-43130/home/70624014,39.7433417,-82.6359997
Multi-Family (2-4 Unit),417 E Chestnut St,Lancaster,OH,43130,197000,,,,3933,9583,1900,2,50,,Active,,,http://www.redfin.com/OH/Lancaster/417-E-Chestnut-St-43130/home/148441929,39.7123652,-82.5949476
Single Family Residential,7133 Tent Church Rd NE,Lancaster,OH,43130,348000,5,2,Rushcreek,2226,265280,1986,2,156,,Active,,,http://www.redfin.com/OH/Lancaster/7133-Tent-Church-Rd-NE-43130/home/70635401,39.7414087,-82.4583723
Single Family Residential,649 E Walnut St,Lancaster,OH,43130,49900,3,1.5,,1076,7840,1941,2,46,,Active,,,http://www.redfin.com/OH/Lancaster/649-E-Walnut-St-43130/home/70629221,39.7113943,-82.5891335
Single Family Residential,2602 Two Ridge Ave,Lancaster,OH,43130,179900,3,2,,1250,10454,2000,2,144,7,Active,,,http://www.redfin.com/OH/Lancaster/2602-Two-Ridge-Ave-43130/home/70635920,39.7517518,-82.6388486
Single Family Residential,215 E Wheeling St,Lancaster,OH,43130,89900,3,3.5,,2532,5662,1900,2,36,,Active,,,http://www.redfin.com/OH/Lancaster/215-E-Wheeling-St-43130/home/70624855,39.715081,-82.5985515
Single Family Residential,4345 Stringtown Rd NW,Lancaster,OH,43130,634900,4,2.5,Greenfield,2571,1060686,2007,3,247,,Active,July-28-2019 12:00 PM,July-28-2019 02:00 PM,http://www.redfin.com/OH/Lancaster/4345-Stringtown-Rd-NW-43130/home/167886992,39.78837,-82.60019
Single Family Residential,969 Governors Cir,Lancaster,OH,43130,206500,2,2,,1302,1742,2012,3,159,247,Active,,,http://www.redfin.com/OH/Lancaster/969-Governor-s-Cir-43130/unit-6-969/home/70587938,39.727892,-82.6427488
Single Family Residential,2664 Wittenberg Dr,Lancaster,OH,43130,174900,4,1.5,,1512,8276,1976,3,116,,Active,,,http://www.redfin.com/OH/Lancaster/2664-Wittenberg-Dr-43130/home/70622055,39.7202678,-82.6536401
Single Family Residential,1730 Fern Trail Dr,Lancaster,OH,43130,190000,4,2.5,,2158,13068,1999,3,88,7,Active,,,http://www.redfin.com/OH/Lancaster/1730-Fern-Trail-Dr-43130/home/70624381,39.7481208,-82.6374769
Single Family Residential,122 S Cedar Ave,Lancaster,OH,43130,119900,3,1,,1060,4356,1900,4,113,,Active,,,http://www.redfin.com/OH/Lancaster/122-S-Cedar-Ave-43130/home/70631793,39.713681,-82.623205
Single Family Residential,1639 Pleasantview Dr,Lancaster,OH,43130,249900,4,2.5,,2202,8712,1960,4,113,,Active,,,http://www.redfin.com/OH/Lancaster/1639-Pleasantview-Dr-43130/home/70627616,39.7280797,-82.5656883
Single Family Residential,2575 Sun Ridge Ct,Lancaster,OH,43130,249900,5,2.5,,2200,10018,2016,4,114,19,Active,,,http://www.redfin.com/OH/Lancaster/2575-Sun-Ridge-Ct-43130/home/70586899,39.7302157,-82.6506862
Single Family Residential,1255 Carroll Southern Rd NW,Carroll,OH,43112,247000,4,3.5,Greenfield,2114,65340,2003,4,117,,Active,,,http://www.redfin.com/OH/Carroll/1255-Carroll-Southern-Rd-NW-43112/home/70584107,39.7485374,-82.680092
Single Family Residential,475 Coonpath Rd NW,Lancaster,OH,43130,409900,5,3,Greenfield,3700,43560,2005,5,111,,Active,,,http://www.redfin.com/OH/Lancaster/475-Coonpath-Rd-NW-43130/home/70596000,39.7678719,-82.60696
Single Family Residential,7940 E Bowling Green Ln NW,Lancaster,OH,43130,282000,4,2.5,Bloom,2144,42253,1976,6,132,25,Active,,,http://www.redfin.com/OH/Lancaster/7940-E-Bowling-Green-Ln-NW-43130/home/70592357,39.7328803,-82.7521814
Single Family Residential,2635 Hardwood Ave,Lancaster,OH,43130,194500,4,2.5,,1997,7840,2003,7,97,7,Active,,,http://www.redfin.com/OH/Lancaster/2635-Hardwood-Ave-43130/home/70624720,39.747892,-82.6401781
Single Family Residential,247 Pairan Ln,Lancaster,OH,43130,339900,4,2.5,,3058,19602,1997,7,111,,Active,,,http://www.redfin.com/OH/Lancaster/247-Pairan-Ln-43130/home/70623858,39.7381112,-82.6091928
Single Family Residential,1202 N Columbus St,Lancaster,OH,43130,129900,3,2,,1468,10454,1900,7,88,,Active,,,http://www.redfin.com/OH/Lancaster/1202-N-Columbus-St-43130/home/70623003,39.7294068,-82.6045902
Single Family Residential,354 E Mulberry St,Lancaster,OH,43130,159900,3,2.5,,1656,5662,1874,7,97,,Active,,,http://www.redfin.com/OH/Lancaster/354-E-Mulberry-St-43130/home/70624906,39.7158244,-82.5957642
Single Family Residential,2572 W Fair Ave,Lancaster,OH,43130,134900,3,1,,1136,18295,1950,8,119,,Active,,,http://www.redfin.com/OH/Lancaster/2572-W-Fair-Ave-43130/home/70621934,39.7259349,-82.6514036
Vacant Land,0 Becks Knob Rd SW,Lancaster,OH,43130,399900,,,Hocking,,428194,,9,,,Active,,,http://www.redfin.com/OH/Hocking-Township/Becks-Knob-Rd-SW-43130/home/70597078,39.713348,-82.656744
Single Family Residential,306 Wheat St,Lancaster,OH,43130,89900,3,1,,1520,6098,1900,11,59,,Active,July-28-2019 01:00 PM,July-28-2019 03:00 PM,http://www.redfin.com/OH/Lancaster/306-Wheat-St-43130/home/70629009,39.7107955,-82.5923011
Single Family Residential,901 King St,Lancaster,OH,43130,139900,3,2,,1898,5227,1900,11,74,,Active,,,http://www.redfin.com/OH/Lancaster/901-King-St-43130/home/70629643,39.7173577,-82.5844979
Single Family Residential,6140 Clearport Rd SW,Lancaster,OH,43130,325000,3,2,Madison,3298,65340,2006,13,99,,Active,,,http://www.redfin.com/OH/Lancaster/6140-Clearport-Rd-SW-43130/home/70584846,39.6381334,-82.6772659
Condo/Co-op,966 Governors Cir,Lancaster,OH,43130,239900,3,3,,1976,2178,2013,15,121,247,Active,,,http://www.redfin.com/OH/Lancaster/966-Governor-s-Cir-43130/unit-11-966/home/70588253,39.7274889,-82.6414446
Single Family Residential,246 N Pearl St,Lancaster,OH,43130,159000,5,2.5,,2204,2178,1900,17,72,,Active,,,http://www.redfin.com/OH/Lancaster/246-N-Pearl-Ave-43130/home/70624947,39.7152863,-82.5980025
Single Family Residential,225 E 6th Ave,Lancaster,OH,43130,214900,3,1.5,,2158,7840,1900,18,100,,Active,,,http://www.redfin.com/OH/Lancaster/225-E-6th-Ave-43130/home/70625118,39.7203189,-82.5972951
Single Family Residential,340 E Allen St,Lancaster,OH,43130,289888,4,2.5,,2196,10018,1935,20,132,,Active,,,http://www.redfin.com/OH/Lancaster/340-E-Allen-St-43130/home/70625942,39.7207087,-82.5950885
Single Family Residential,1710 Snoke Rd SW,Lancaster,OH,43130,132900,3,1,Hocking,1036,12196,1900,20,128,,Active,,,http://www.redfin.com/OH/Lancaster/1710-Snoke-Rd-SW-43130/home/70597356,39.682488,-82.6348601
Single Family Residential,812 N High St,Lancaster,OH,43130,139900,3,1,,1312,6098,1922,21,107,,Active,,,http://www.redfin.com/OH/Lancaster/812-N-High-St-43130/home/70625350,39.7234366,-82.5970312
Single Family Residential,732 Goodwin Ave,Lancaster,OH,43130,89800,3,1,,1056,8712,1951,21,85,,Active,,,http://www.redfin.com/OH/Lancaster/732-Goodwin-Ave-43130/home/70620706,39.7226072,-82.6135417
Single Family Residential,2385 Pumpkin Vine Rd SE,Lancaster,OH,43130,134900,3,2,Rushcreek,1548,106286,1978,23,87,,Active,,,http://www.redfin.com/OH/Lancaster/2385-Pumpkin-Vine-Rd-SE-43130/home/70604712,39.6835062,-82.4777929
Single Family Residential,237 Lake St,Lancaster,OH,43130,269900,4,2.5,,2834,5227,1938,24,95,,Active,,,http://www.redfin.com/OH/Lancaster/237-Lake-St-43130/home/70625655,39.722911,-82.5959589
Single Family Residential,2333 Rainbow Dr NE,Lancaster,OH,43130,439000,3,2.5,,1968,276170,2019,24,223,,Active,,,http://www.redfin.com/OH/Lancaster/2333-Rainbow-Dr-NE-43130/home/167169202,39.7514895,-82.5533113
Single Family Residential,446 Spring St,Lancaster,OH,43130,115000,4,2,,1056,6098,1967,25,109,,Active,,,http://www.redfin.com/OH/Lancaster/446-Spring-St-43130/home/70632159,39.7025106,-82.6087705
Single Family Residential,7390 Marcy Rd NW,Lancaster,OH,43130,249900,4,2.5,Bloom,1808,111077,1972,25,138,,Active,,,http://www.redfin.com/OH/Lancaster/7390-Marcy-Rd-NW-43130/home/70591936,39.746357,-82.7396662
Multi-Family (2-4 Unit),502 E Mulberry St,Lancaster,OH,43130,137500,,,,2956,7840,1900,25,47,,Active,,,http://www.redfin.com/OH/Lancaster/502-E-Mulberry-St-43130/home/145734490,39.7157779,-82.5934001
Vacant Land,0 Wacker Dr,Lancaster,OH,43130,175000,,,,,217800,,28,,,Active,,,http://www.redfin.com/OH/Lancaster/Wacker-Dr-43130/home/70622627,39.740329,-82.617423
Vacant Land,0 Queen Elizabeth Lot 15 Dr,Lancaster,OH,43130,55000,,,,,14810,,28,,,Active,,,http://www.redfin.com/OH/Lancaster/Queen-Elizabeth-Dr-43130/unit-L-16/home/145730621,39.740206,-82.616596
Vacant Land,0 Queen Elizabeth Lot 14 Dr,Lancaster,OH,43130,55000,,,,,14374,,28,,,Active,,,http://www.redfin.com/OH/Lancaster/Queen-Elizabeth-Lot-14-DR-43130/home/167149260,39.7136754,-82.5993294
Single Family Residential,930 Champion Ave,Lancaster,OH,43130,40000,2,2,,700,5662,1940,29,57,,Active,,,http://www.redfin.com/OH/Lancaster/930-Champion-Ave-43130/home/70630413,39.6997954,-82.596989
Multi-Family (2-4 Unit),912 N Columbus St,Lancaster,OH,43130,99500,,,,2640,8276,1900,32,38,,Active,,,http://www.redfin.com/OH/Lancaster/912-N-Columbus-St-43130/home/70622551,39.7245516,-82.6038301
Single Family Residential,732 Madison Ave,Lancaster,OH,43130,169900,4,1.5,,1845,7840,1900,34,92,,Active,,,http://www.redfin.com/OH/Lancaster/732-Madison-Ave-43130/home/70625389,39.7218171,-82.5873595
Condo/Co-op,2226 William T Cir,Lancaster,OH,43130,175000,2,2,,1242,1742,2003,38,141,180,Active,,,http://www.redfin.com/OH/Lancaster/2226-William-T-Cir-43130/unit-7-2226/home/70584372,39.749239,-82.582738
Single Family Residential,3071 Meadowbrook Dr NE,Lancaster,OH,43130,375000,4,3,Pleasant,2400,27442,2004,38,156,,Active,,,http://www.redfin.com/OH/Lancaster/3071-Meadowbrook-Dr-NE-43130/home/70602084,39.752301,-82.537713
Unknown,2190 Lancaster Newark Rd NE,Lancaster,OH,43130,275000,,,Pleasant,3476,78408,1966,40,79,,Active,,,http://www.redfin.com/OH/Lancaster/2190-Lancaster-Newark-Rd-NE-43130/home/70600844,39.7559613,-82.5808547
Single Family Residential,1904 Cedar Hill Rd,Lancaster,OH,43130,122000,4,2.5,,1932,14810,1900,42,63,,Active,,,http://www.redfin.com/OH/Lancaster/1904-Cedar-Hill-Rd-43130/home/70630285,39.7137365,-82.633425
Multi-Family (2-4 Unit),"1034, 1036 Meadowview Ave",Lancaster,OH,43130,114900,,,,1840,6098,1978,43,62,,Active,,,http://www.redfin.com/OH/Lancaster/1036-Meadowview-Ave-43130/home/145734685,39.6997065,-82.595634
Single Family Residential,125 Cleveland Ave,Lancaster,OH,43130,145500,4,2,,1411,4791,1927,43,103,,Active,,,http://www.redfin.com/OH/Lancaster/125-Cleveland-Ave-43130/home/70631195,39.7015089,-82.6037457
Single Family Residential,225 S Maple St,Lancaster,OH,43130,125900,4,2,,1992,9147,1900,43,63,,Active,,,http://www.redfin.com/OH/Lancaster/225-S-Maple-St-43130/home/70628686,39.7115953,-82.5941594
Single Family Residential,2655 Little Pine Ln,Lancaster,OH,43130,189900,3,2.5,,1780,10018,2000,45,107,7,Active,July-28-2019 01:00 PM,July-28-2019 03:00 PM,http://www.redfin.com/OH/Lancaster/2655-Little-Pine-Ln-43130/home/70635917,39.7513943,-82.6398404
Single Family Residential,1137 E Walnut St,Lancaster,OH,43130,84900,3,1,,960,5227,2001,45,88,,Active,,,http://www.redfin.com/OH/Lancaster/1137-E-Walnut-St-43130/home/70629328,39.7119665,-82.5795885
Single Family Residential,625 Washington Ave,Lancaster,OH,43130,74900,2,1,,1124,5227,1900,45,67,,Active,,,http://www.redfin.com/OH/Lancaster/625-Washington-Ave-43130/home/70619419,39.7211503,-82.6164549
Single Family Residential,618 E Chestnut St,Lancaster,OH,43130,99900,4,2,,1512,2178,1900,46,66,,Active,,,http://www.redfin.com/OH/Lancaster/618-E-Chestnut-St-43130/home/70629231,39.7122019,-82.590485
Single Family Residential,705 Garfield Ave,Lancaster,OH,43130,124900,3,2,,1241,5227,1900,46,101,,Active,,,http://www.redfin.com/OH/Lancaster/705-Garfield-Ave-43130/home/70619760,39.7219787,-82.6175104
Single Family Residential,137 Pierce Ave,Lancaster,OH,43130,39900,1,1,,477,5227,1900,46,84,,Active,,,http://www.redfin.com/OH/Lancaster/137-Pierce-Ave-43130/home/70630228,39.7154975,-82.6195368
Single Family Residential,870 Carpico Dr NE,Lancaster,OH,43130,214999,3,1.5,Pleasant,1720,24829,1972,46,125,,Active,,,http://www.redfin.com/OH/Lancaster/870-Carpico-Dr-NE-43130/home/70602523,39.7486403,-82.5815728
